country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cayman Islands,CYM,,,,,,,82801.54266,85433.03094,85188.33704,77400.42144,73351.75677,72329.66133,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,
Cyprus,CYP,14388.34806,14821.44682,16093.21461,20252.23898,23792.62136,24959.25917,26729.3234,31244.92622,35397.36368,32109.24251,31023.63833,32396.38574,28912.15694,27729.1927,27163.33297,23408.33668,24605.92083,26444.07438,29089.47133,28288.46158,26623.80089
Czech Republic,CZE,6029.038193,6637.041657,8060.868703,9818.568493,11749.85266,13430.6699,15261.79759,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561,23490.39846,22762.19714
Germany,GER,23635.92922,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44442.77184,47787.16051,46467.5162,45723.6441
Djibouti,DJI,768.1835703,780.9039613,791.3841807,818.8687857,863.2360874,904.7366795,967.6795838,1052.719117,1223.852363,1267.317394,1343.275125,1451.548081,1559.240651,2312.720948,2464.297678,2658.964207,2802.181971,2914.374595,3141.879389,3414.935393,3425.50345
Dominica,DMA,4787.801441,4883.003024,4770.851894,4897.308367,5216.872434,5160.889141,5518.4232,5951.863413,6468.944767,6903.145806,6967.364955,7065.460372,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7274.517731,7693.771453,8001.997095,6526.793215
Denmark,DNK,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61598.5367,60213.09215,60908.83513
Dominican Republic,DOM,2869.178139,2977.43451,3110.325447,2418.350422,2487.329061,3932.784407,4109.033591,4707.795052,5087.983213,5039.403122,5555.392014,5913.426649,6110.366576,6238.132367,6608.825501,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,7268.19691
Algeria,DZA,1765.026718,1740.607066,1781.827726,2103.381692,2610.185422,3113.095706,3478.710412,3950.51426,4923.630278,3883.27129,4480.787439,5455.67903,5592.220115,5499.587331,5493.056663,4177.886892,3946.452425,4109.703442,4153.956234,3975.508993,3310.386534
East Asia & Pacific (excluding high income),EAP,954.3056637,1007.164031,1106.73807,1240.835131,1427.146584,1640.227547,1961.19555,2463.859868,3091.090388,3330.632704,4006.561591,4855.674023,5375.530594,5890.471604,6303.515561,6519.038901,6609.484366,7172.701944,7968.089975,8194.265112,8291.745976
Early-demographic dividend,EAR,1337.308867,1301.163484,1242.959314,1358.844738,1554.229076,1782.619225,2006.411798,2343.858436,2599.726516,2466.24683,2949.396479,3255.825907,3365.31928,3378.604105,3447.097437,3301.137579,3333.147041,3554.53187,3526.975044,3581.13274,3254.969411
East Asia & Pacific,EAS,4050.274004,3735.186756,3766.21931,4108.033693,4573.856552,4847.625291,5105.632988,5675.001382,6498.497381,6650.301436,7698.981508,8858.855472,9417.628081,9465.403888,9700.755546,9595.159207,9855.725329,10467.854,11318.84036,11499.63467,
Europe & Central Asia (excluding high income),ECA,1786.832638,1777.380433,2036.340577,2567.129582,3398.188562,4301.295541,5269.813793,6811.456166,8410.154001,6585.407769,7815.679282,9601.425309,10121.83497,10689.03919,9916.756704,7546.232996,7177.772237,8018.714138,8206.596661,8337.857422,7656.593919
Europe & Central Asia,ECS,11657.59699,11770.26417,12840.20924,15594.95278,18122.43924,19235.98157,20764.72122,24174.22869,26436.53098,23165.17958,23640.6638,26138.77416,25097.80321,26102.0502,26334.39368,22582.9527,22404.89958,23617.21929,25221.76086,24791.4491,23780.38847
Ecuador,ECU,1445.279324,1894.616196,2172.101877,2425.851842,2691.277685,3002.138604,3328.884156,3567.837186,4249.01897,4231.619235,4633.591284,5200.555108,5682.046108,6056.331213,6377.093929,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,5600.389615
"Egypt, Arab Rep.",EGY,1450.476242,1378.203383,1191.103239,1102.468199,1062.158092,1186.393313,1397.43669,1667.317998,2044.527804,2331.26884,2645.968759,2791.810766,3229.68563,3262.657586,3379.557986,3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,3547.870848
